time, V
0.0017019560395241107, 3.1462068965517247
0.02764266989312364, 3.2000000000000006
0.0489856825972978, 3.2744827586206897
0.07965315587820132, 3.3406896551724143
0.11499899173220407, 3.406896551724138
0.16667069973785037, 3.4606896551724144
0.22061705989110714, 3.497931034482759
0.26523895946763465, 3.5434482758620693
0.3051986287557975, 3.5931034482758624
0.363791086912684, 3.622068965517242
0.43411171607178867, 3.6593103448275865
0.4904295220810647, 3.704827586206897
0.5420689655172413, 3.7503448275862072
0.5867231296632386, 3.804137931034483
0.6453801169590644, 3.8496551724137933
0.6922928009679371, 3.882758620689655
0.7392054849768097, 3.9158620689655175
0.7908449284129866, 3.961379310344828
0.8471949989917322, 4.0151724137931035
0.9035612018552126, 4.073103448275862
0.9434563420044364, 4.106206896551725
0.9999032062915909, 4.184827586206897
